I,Q
-4.672294679749435242e-01,-5.423138410627924982e-02
-2.316044939875017972e-01,-3.911481300805606798e-02
-1.345550360490898323e-01,-3.319784874918804002e-02
-2.434621101149985478e-01,1.040445120632372232e-02
-1.056802819435088553e-01,-5.722557482855170768e-02
-1.732450271636439831e-01,1.280897581926498940e-02
-1.981563024533013473e-01,-1.111249059607489651e-03
-2.247449318789882799e-01,-1.337882458530894290e-02
-3.494977179376139165e-01,4.733624948188439735e-02
-3.345911084705201488e-01,-2.901957739618032592e-02
-2.693713862918526436e-01,-2.236309023158758891e-03
-4.783427269968234530e-01,3.986359358853672555e-03
-4.299451418152964166e-01,6.990405061061463754e-02
-5.161459869714491999e-01,7.673955671187225602e-02
-4.241623456051969998e-01,-1.059732717667224849e-01
-2.009782408817500643e-01,-3.584893174323663251e-02
-3.774999119794063551e-01,1.517004144885939487e-01
-4.987464893349840001e-01,4.556765853261600385e-02
-5.931867787885872767e-01,4.002008261611278428e-02
-6.183292177098492770e-01,-1.058217557154759736e-01
-3.655351099526694680e-01,5.557271351092738995e-03
-2.968737865521497987e-01,-1.699042119910094406e-01
-4.852530691390357642e-01,1.051965561951372641e-01
-3.916604028153836681e-01,2.940104399754414621e-02
-1.354960998150906426e-01,-2.148896083053226935e-02
-2.295510581940665429e-01,3.064085734898638544e-02
-1.181369284164546229e-01,-6.995567907691477294e-02
-1.922784530553982574e-01,4.584090698346113962e-02
-2.521673072788319092e-01,2.810836729037378967e-02
-1.931709026931520412e-01,-2.003612033524151265e-02
-3.279686392788270233e-01,-1.790317599737726445e-02
-3.311460812497853956e-01,-2.580256143544073719e-02
-2.521247012043889013e-01,-7.662653702785674446e-03
-4.979920196270277155e-01,3.071388346073740047e-02
-3.948491640760198873e-01,2.352540990472212074e-02
-4.002424539221642874e-01,-6.542811009359381091e-02
-5.200691568802453535e-01,8.073875008946158893e-02
-2.016680697992760118e-01,-4.614961471947066907e-02
-3.810998430182374608e-01,1.568338327703281410e-01
-4.900563582248728678e-01,5.211361358777321512e-02
-7.151259052302466612e-01,4.806749487832885637e-02
-6.823099909469075852e-01,5.585165809023365235e-02
-5.008643501781008256e-01,6.328264970522150257e-02
-2.612046921300657520e-01,-1.314579230153025691e-01
-4.760494965590930105e-01,1.068688299649957346e-01
-3.721775840147115155e-01,2.190508858800223682e-02
-2.512960138626368911e-01,2.547275037787697857e-02
-1.884154895375080574e-01,-3.937055654590487785e-02
-2.151522039854655843e-01,1.588576609234931547e-01
-1.808322936183694163e-01,3.515008654823587042e-02
-2.425931116463966308e-01,2.701022415263807860e-02
-1.884596746493009123e-01,-2.340662643234314028e-02
-3.251596744065078370e-01,-1.345703835156026283e-02
-3.517452439490559857e-01,9.149485051042590897e-03
-2.568748041143401606e-01,-1.130534581886860797e-02
-4.705966002498859768e-01,6.305597849122092542e-03
-4.164640714412397582e-01,1.974684709187127588e-02
-4.030406853214226204e-01,-6.513567229843028605e-02
-5.119442227724233518e-01,6.776675127913606156e-02
-3.917491862475372399e-01,-2.622573602625561523e-02
-3.578005577466288889e-01,-9.753700094758566141e-02
-5.268556135768124316e-01,-8.794998193749087312e-02
-6.970720618681762737e-01,5.784048447201450838e-02
-6.795744053076137048e-01,6.477973744584662741e-02
-4.922988664230783518e-01,6.731864423071740045e-02
-3.804124371147246109e-01,-1.365431625045354126e-02
-4.355653733832445806e-01,1.140490306499602202e-01
-4.292592266655343991e-01,-6.393120943319176297e-02
-2.497536449230047528e-01,2.287362956236847072e-02
-1.923126649157768375e-01,-3.947238503441955620e-02
-2.338940324016681171e-01,1.593705778077980917e-01
-1.387737482962360935e-01,-2.341585073913041853e-02
-2.001364014231382660e-01,-1.817888065977476750e-02
-2.025977927933997613e-01,-4.944067321767461757e-04
-3.214481297596086806e-01,-8.180100341503881642e-03
-3.563401489147683954e-01,1.700679377403850265e-02
-2.623448384396483424e-01,-1.075874834334790767e-02
-3.753370608612991988e-01,3.022549699779189872e-02
-3.942924972925775928e-01,-1.199276468645752713e-01
-4.444075927245025315e-01,8.129819259354334471e-02
-5.097543859301629787e-01,7.030628643428461777e-02
-3.937322148105146247e-01,-3.275679381727115286e-02
-3.619452620089742556e-01,-1.012930681214570805e-01
-5.216682416919555809e-01,-9.179406019613897683e-02
-5.788613386157964724e-01,7.054251720805537751e-02
-6.001966942762845258e-01,7.867002913627590965e-02
