Frequency,Power
3.358936484490398300e+01,5.782252948700532897e+02
3.367799113737075345e+01,4.685784088891202828e+02
3.376661742983751680e+01,5.355774525076529926e+02
3.385524372230428014e+01,5.528857079889511397e+02
3.394387001477104349e+01,4.686973534270593404e+02
3.403249630723781394e+01,3.534579646125308159e+02
3.412112259970457728e+01,3.979746167337032148e+02
3.420974889217134063e+01,8.988562964472006342e+02
3.429837518463811108e+01,3.395081285316722415e+02
3.438700147710487443e+01,4.697265924859235042e+02
3.447562776957163777e+01,4.907040639940648816e+02
3.456425406203840112e+01,9.634619061978739296e+01
3.465288035450517157e+01,2.786731202392802516e+02
3.474150664697193491e+01,1.220443312278490140e+02
3.483013293943869826e+01,2.186637919994876427e+02
3.491875923190546160e+01,2.721609806987382854e+02
3.500738552437223206e+01,1.382648457554205947e+02
3.509601181683899540e+01,7.041890776807965722e+02
3.518463810930575875e+01,6.251891363491457696e+02
3.527326440177252209e+01,2.628013237724488249e+02
3.536189069423929254e+01,2.536364230617223257e+02
3.545051698670605589e+01,8.836548772605061686e+02
3.553914327917281923e+01,5.858376866229032203e+02
3.562776957163958258e+01,5.729150991754934239e+02
3.571639586410635303e+01,9.983484042886546206e+01
3.580502215657311638e+01,2.545285564725534755e+02
3.589364844903987972e+01,4.487168672409480905e+02
3.598227474150664307e+01,1.653582454975745577e+02
3.607090103397341352e+01,7.446682618639295015e+02
3.615952732644017686e+01,1.291564410818149895e+02
3.624815361890694021e+01,2.328716881657558702e+02
3.633677991137370356e+01,2.948240828892841705e+02
3.642540620384047401e+01,3.718411631287660839e+02
3.651403249630723735e+01,3.079624319476675964e+02
3.660265878877400070e+01,3.073049099342335921e+02
3.669128508124076404e+01,6.897820384035168217e+02
3.677991137370753449e+01,2.529315816793244096e+02
3.686853766617429784e+01,5.863052749365141381e+02
3.695716395864106119e+01,1.774750375600808411e+03
3.704579025110782453e+01,3.541074344333832414e+03
3.713441654357459498e+01,2.785618692478184357e+02
3.722304283604135833e+01,2.548351007845473646e+02
3.731166912850812167e+01,2.570275919338442350e+02
3.740029542097488502e+01,6.403922198583570662e+02
3.748892171344165547e+01,7.722982642042770749e+02
3.757754800590841882e+01,4.866264029029069889e+02
3.766617429837518216e+01,2.971593597345519129e+02
3.775480059084194551e+01,1.589214249922586646e+02
3.784342688330871596e+01,1.159125843502426505e+03
3.793205317577547930e+01,2.278106617312714206e+03
3.802067946824224265e+01,2.269504054076598095e+03
3.810930576070900599e+01,1.112209960121289441e+03
3.819793205317577645e+01,2.962823076201594290e+02
3.828655834564253979e+01,1.029893165112610802e+02
3.837518463810930314e+01,1.125524850615084631e+02
3.846381093057606648e+01,2.578893630921034514e+02
3.855243722304283693e+01,4.041797311955705254e+02
3.864106351550960028e+01,1.523296722267919847e+02
3.872968980797636362e+01,3.436599935379105659e+02
3.881831610044312697e+01,1.434914049429424097e+02
3.890694239290989742e+01,9.131819628641516147e+02
3.899556868537666077e+01,2.392180925414575938e+02
3.908419497784342411e+01,2.191149783364706707e+02
3.917282127031018746e+01,8.332983841579206796e+01
3.926144756277695791e+01,3.031982888240273724e+02
3.935007385524372125e+01,4.781312312570029235e+02
3.943870014771048460e+01,3.606427258715509652e+02
3.952732644017724795e+01,4.059656386686477276e+02
3.961595273264401840e+01,2.380029244574555491e+02
3.970457902511078174e+01,9.816380224321794401e+01
3.979320531757754509e+01,6.376961524878032606e+02
3.988183161004430843e+01,9.161537723297529965e+02
3.997045790251107888e+01,3.474061734683696159e+02
4.005908419497784223e+01,4.259330748337652039e+02
4.014771048744460558e+01,3.218509007325489506e+02
4.023633677991136892e+01,2.680390419715741928e+02
4.032496307237813937e+01,1.704030062932804697e+02
4.041358936484490272e+01,2.237964071348289110e+02
4.050221565731166606e+01,5.087129007328483112e+02
4.059084194977842941e+01,1.452091535106891342e+02
4.067946824224519986e+01,4.364600162213453700e+02
4.076809453471196321e+01,4.894741714400871047e+02
4.085672082717872655e+01,5.602919695152028225e+02
4.094534711964548990e+01,4.923848331712923141e+02
4.103397341211226035e+01,3.422806620334827699e+02
4.112259970457902369e+01,3.111276225153634414e+02
4.121122599704578704e+01,2.451748637542334279e+02
4.129985228951255039e+01,4.940256332546046565e+02
4.138847858197932084e+01,6.780891152672543285e+02
4.147710487444608418e+01,3.718520700522814195e+02
4.156573116691284753e+01,1.154297831089644433e+02
4.165435745937961087e+01,4.801929889784747729e+02
4.174298375184638132e+01,3.517704478685099616e+02
4.183161004431314467e+01,5.424644993901575845e+02
4.192023633677990802e+01,1.122891739700492337e+02
4.200886262924667136e+01,6.660586934705364683e+02
4.209748892171344181e+01,7.004450332966860060e+02
4.218611521418020516e+01,2.978466275963969565e+02
4.227474150664696850e+01,6.193773378666650160e+02
4.236336779911373185e+01,2.221467763099209947e+02
4.245199409158050230e+01,1.195583854598587834e+02
4.254062038404726565e+01,4.028176713120793693e+02
4.262924667651402899e+01,1.716740082191262786e+02
4.271787296898079234e+01,3.663088616358424474e+02
4.280649926144756279e+01,4.082413795931066147e+02
4.289512555391432613e+01,2.461658576391878626e+02
4.298375184638108948e+01,2.315038447380858315e+02
4.307237813884785282e+01,3.858260173912726145e+02
4.316100443131462328e+01,3.494025695884227645e+01
4.324963072378138662e+01,3.421304987207980730e+01
4.333825701624814997e+01,5.746383070252969674e+02
4.342688330871491331e+01,9.165299849553315426e+02
4.351550960118168376e+01,6.750578814768102802e+02
4.360413589364844711e+01,1.607957459754932188e+02
4.369276218611521045e+01,4.264858179163783234e+02
4.378138847858197380e+01,2.166280587846910350e+02
4.387001477104874425e+01,1.733628515287043683e+02
4.395864106351550760e+01,6.123798883190571019e+01
4.404726735598227094e+01,4.882339491908587092e+02
4.413589364844903429e+01,4.427800685380087771e+02
4.422451994091580474e+01,2.638833262908479469e+02
4.431314623338256808e+01,7.035337359944603577e+02
4.440177252584933143e+01,4.891204252710112428e+02
4.449039881831609478e+01,5.475416859304013997e+02
4.457902511078286523e+01,4.238171342332679501e+02
4.466765140324962857e+01,5.528162423942284249e+02
4.475627769571639192e+01,5.456243963668608785e+02
4.484490398818315526e+01,1.853941369751572381e+02
4.493353028064992571e+01,9.374841929019461872e+01
4.502215657311668906e+01,4.146142967132562944e+02
4.511078286558345241e+01,1.270697365398955867e+02
4.519940915805021575e+01,1.137846903957508857e+02
4.528803545051698620e+01,5.753355651328054137e+02
4.537666174298374955e+01,6.558979788432319538e+02
4.546528803545051289e+01,4.652555060863362542e+02
4.555391432791728334e+01,4.494612348096169399e+02
4.564254062038404669e+01,3.843696268966027105e+02
4.573116691285081004e+01,5.978527442957586118e+02
4.581979320531757338e+01,5.885587335327909386e+02
4.590841949778434383e+01,8.794703289925276124e+01
4.599704579025110718e+01,2.827809371935621243e+02
4.608567208271787052e+01,4.312760809855067237e+02
4.617429837518463387e+01,2.741838205303933478e+02
4.626292466765140432e+01,4.847688806952783693e+02
4.635155096011816767e+01,5.425724659329850965e+02
4.644017725258493101e+01,9.302695581464712404e+01
4.652880354505169436e+01,7.497758493328134364e+02
4.661742983751846481e+01,4.573809280225243015e+02
4.670605612998522815e+01,7.327323338301473541e+02
4.679468242245199150e+01,4.141813698661691774e+02
4.688330871491875484e+01,1.790578832469543045e+02
4.697193500738552530e+01,2.077310576894186624e+02
4.706056129985228864e+01,6.432332923967386478e+02
4.714918759231905199e+01,5.309462534395011062e+02
4.723781388478581533e+01,5.632699439850558747e+02
4.732644017725258578e+01,4.409536992911390598e+02
4.741506646971934913e+01,3.673991015459744176e+02
4.750369276218611247e+01,9.030354455996425713e+02
4.759231905465287582e+01,7.026174364988440857e+02
4.768094534711964627e+01,4.587023105544963073e+02
4.776957163958640962e+01,3.031439342931410579e+02
4.785819793205317296e+01,1.836123387360555341e+02
4.794682422451993631e+01,3.416437393402155749e+02
4.803545051698670676e+01,4.884857868976554869e+02
4.812407680945347010e+01,4.075631722258676177e+02
4.821270310192023345e+01,5.784306046563526706e+02
